,x,y,ele,name
0,302330,2779040,3,"榮總入口,A1,B1"
1,301760,2779070,5,陽明入口
2,301250,2779240,5,東華入口
3,300700,2779400,10,公館路入口
4,301100,2780870,50,奇岩路入口
5,301650,2780980,50,銀光巷入口
7,302520,2779640,50,A2
8,302470,2779630,70,A3
9,302330,2779900,160,A4
10,302310,2780000,188,A5
11,302380,2780230,150,A6
12,302430,2780710,250,A7
13,302640,2780780,280,A8
15,302230,2779510,50,B2
17,302160,2779580,80,B3
18,302100,2779850,135,B4
19,302240,2780360,185,B5
20,301840,2780500,150,B6
21,300740,2779430,20,"C1,D1,E1"
22,300830,2779440,35,C2
23,301140,2779490,60,C3
24,301300,2779600,60,C4
25,301460,2779650,90,C5
26,301590,2779650,100,C6
27,301950,2779840,163,C7
30,301400,2780750,130,D2
31,301250,2780510,110,D3
32,301510,2780690,160,D4
33,301720,2780700,190,D5
34,301890,2780740,210,D6
36,302020,2780570,180,D7
37,302320,2780530,235,D8
39,301900,2780800,170,E2
40,302240,2780200,170,"I,J"
